👁︵👁,#genre#
http://diyp6.112114.xyz
https://epg.mxdyeah.top/api/diyp/
http://iptvapi.92e.cn/epg/epg.php
山东卫视,http://39.134.65.149/PLTV/88888888/224/3221225952/1.m3u8$鸡西移动
山东卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000012807&livemode=1&stbId=3$ITV域名
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8$黑移域名
山西卫视,http://39.134.62.81:6610/000000001000/5000000006000040023/1.m3u8?channel-id=bestzb&Contentid=5000000006000040023&livemode=1&stbId=3$ITV v4网
山西卫视,http://39.134.65.149/PLTV/88888888/224/3221226009/1.m3u8$鸡西移动
山西卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000021220&livemode=1&stbId=3$ITV域名
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8$黑移域名
陕西卫视,http://39.134.62.81:6610/000000001000/5000000006000040017/1.m3u8?channel-id=bestzb&Contentid=5000000006000040017&livemode=1&stbId=3$ITV v4网
陕西卫视,http://39.134.65.166/PLTV/88888888/224/3221225567/1.m3u8$鸡西移动
陕西卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000007495&livemode=1&stbId=3$ITV域名
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8$黑移域名
深圳卫视,http://39.134.62.81:6610/000000001000/1000000001000009227/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=3$ITV v4网
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8$鸡西移动
深圳卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009227&livemode=1&stbId=3$ITV域名
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8$黑移域名
四川卫视,http://39.134.62.81:6610/000000001000/1000000002000016825/1.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=3$ITV v4网
四川卫视,http://39.134.65.183/PLTV/88888888/224/3221225970/1.m3u8$鸡西移动
四川卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000016825&livemode=1&stbId=3$ITV域名
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8$黑移域名
天津卫视,http://39.134.62.81:6610/000000001000/1000000001000003475/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003475&livemode=1&stbId=3$ITV v4网
天津卫视,http://39.134.65.183/PLTV/88888888/224/3221225972/1.m3u8$鸡西移动
天津卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000003475&livemode=1&stbId=3$ITV域名
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8$黑移域名
新疆卫视,http://39.134.62.81:6610/000000001000/1000000002000029441/1.m3u8?channel-id=ystenlive&Contentid=1000000002000029441&livemode=1&stbId=3$ITV v4网
新疆卫视,http://39.134.65.166/PLTV/88888888/224/3221225582/1.m3u8$鸡西移动
新疆卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000029441&livemode=1&stbId=3$ITV域名
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8$黑移域名
云南卫视,http://39.134.62.81:6610/000000001000/1000000002000024694/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=3$ITV v4网
云南卫视,http://39.134.65.149/PLTV/88888888/224/3221225957/1.m3u8$鸡西移动
云南卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000024694&livemode=1&stbId=3$ITV域名
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8$黑移域名
浙江卫视,http://39.134.62.81:6610/000000001000/1000000001000014260/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3$ITV v4网
浙江卫视,http://39.134.65.183/PLTV/88888888/224/3221225959/1.m3u8$鸡西移动
浙江卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000001000014260&livemode=1&stbId=3$ITV域名
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8$黑移域名
重庆卫视,http://39.134.62.81:6610/000000001000/1000000002000018937/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=3$ITV v4网
重庆卫视,http://39.134.65.183/PLTV/88888888/224/3221225963/1.m3u8$鸡西移动
重庆卫视,http://gslbserv.itv.cmvideo.cn/1.m3u8?channel-id=ystenlive&Contentid=1000000002000018937&livemode=1&stbId=3$ITV域名
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8$黑移域名
